"","sens_28_spec_89","sens_57_spec_80","sens_64_spec_76","sens_70_spec_70","sens_75_spec_66","sens_88_spec_63","sens_90_spec_58","sens_95_spec_19","sens_100_spec_3"
"343",32900.4823239465,33077.3340732725,33099.2215445239,33172.768895734,33217.5863809423,33285.5419674214,33344.9277817108,33454.5491891542,33558.0994768621
"344",32580.2080225618,32765.2918863807,32792.0872384171,32828.856629316,32878.0737872207,32987.5290593003,33048.129359812,33136.6082954362,33199.725833103
"345",34293.8825236814,34437.2352607867,34499.290427176,34551.5272302118,34575.3618338332,34625.373008254,34644.0109827984,34754.3727321634,34815.7794072707
"346",42498.6320152561,42627.6338169539,42647.2462326842,42674.5701636623,42692.8782490515,42752.3615495836,42794.9563307996,42883.951224033,42923.7101808485
"347",46243.4259544806,46769.821779011,46820.9997669162,46855.5368325717,46908.4808601913,47080.3814123639,47164.0658731434,47260.3570393346,47310.7146706026
"348",26222.1302867733,26311.7343503293,26336.1143784518,26364.5763223945,26380.4145292885,26435.0166655142,26448.737243629,26531.3553754413,26573.2811449553
"349",36009.5906001827,36146.7076112612,36163.8885083764,36182.9241328488,36214.3809362752,36304.049457587,36315.3861577419,36404.5898368935,36441.0989100008
"350",37024.1132383942,37188.5988701603,37234.3960237142,37278.9402848127,37307.311411908,37361.1561273117,37377.1168475914,37464.5721026244,37524.5604649126
"351",31661.1094264279,31810.4336101567,31844.535605199,31924.4446251056,31937.5447479504,31998.5512261259,32010.8824643755,32104.6859342144,32155.1713307646
"352",22794.6248229873,22875.5282080691,22919.9112693432,22953.3669312197,22969.4532592236,23017.7294742458,23035.5737761148,23161.9025834456,23239.9732904208
"353",33640.0476346329,33806.6386908486,33847.1778201858,33864.2887483066,33883.966387402,33960.4759506714,33988.6779727288,34067.7222886253,34132.3113435373
"354",37056.4121937834,37199.3460069212,37235.6504063496,37267.6603493238,37293.5844025133,37407.9033847124,37420.5918772623,37523.4649962845,37560.8994984373
"355",32727.7870038806,32943.8356658981,32973.888206615,33003.30977925,33065.3053730218,33134.418216634,33155.0994305405,33271.0508284607,33329.3237424157
"356",23471.9009276116,23641.7140273092,23700.0877231647,23733.1269126617,23747.5296581097,23821.1796302271,23836.790954742,23950.2434736163,24022.7841311993
"357",31723.7008294912,31890.8686246097,31924.0691402532,31974.9752330157,32029.1471124878,32105.9523357044,32129.3599214675,32225.6410414649,32262.6629612659
"358",42058.3415929987,42253.8093300597,42288.1585942019,42310.9007913285,42330.2638381029,42402.6113146283,42433.6461581882,42520.482327388,42559.7303129763
"359",28013.1274231044,28178.3298841132,28227.4173178507,28264.7381656139,28296.6744904861,28376.3314924725,28389.8217590505,28473.7493366947,28514.1638906065
"360",44477.8287600129,44569.1598019918,44630.4111711118,44697.9975974609,44716.7175901512,44811.8565911782,44825.5984802137,44908.3110294041,44962.0776886774
"361",37265.5818847499,37438.6085293106,37464.5387461595,37504.9274318623,37540.8694528075,37594.7084123411,37617.6264158007,37709.6756858421,37785.7426253439
"362",35739.3570833215,35825.6807928965,35849.7182905647,35892.5204610526,35922.8453340143,35984.3086918369,35996.7877690241,36090.6692888747,36137.7475396598
"363",34345.486019998,34580.2653882496,34645.4680597789,34701.1119740946,34743.3148565106,34843.1238394381,34854.2000310582,34965.6410116046,35035.95454513
"364",28233.1381371465,28374.7338454593,28428.6678649447,28455.434940053,28474.5074063545,28518.0085111314,28530.8758376206,28612.9735284903,28659.4551453483
