,LAS_sens_nonElderly,LAS_spec_nonElderly,MATTS_sens_nonElderly,MATTS_spec_nonElderly,WMAS_sens_nonElderly,WMAS_spec_nonElderly,YAS_sens_nonElderly,YAS_spec_nonElderly,SWAST_sens_nonElderly,SWAST_spec_nonElderly,LAS_sens_Elderly,LAS_spec_Elderly,MATTS_sens_Elderly,MATTS_spec_Elderly,WMAS_sens_Elderly,WMAS_spec_Elderly,YAS_sens_Elderly,YAS_spec_Elderly,SWAST_sens_Elderly,SWAST_spec_Elderly
12,0.687344913,0.829076621,0.493796526,0.907662083,0.573200993,0.852652259,0.635235732,0.829076621,0.449131514,0.933202358,0.360215054,0.891203704,0.25,0.96875,0.287634409,0.908564815,0.341397849,0.891203704,0.239247312,0.962962963
13,0.687179487,0.825670498,0.502564103,0.931034483,0.58974359,0.862068966,0.592307692,0.825670498,0.435897436,0.940613027,0.452941176,0.871651786,0.282352941,0.965401786,0.361764706,0.880580357,0.429411765,0.871651786,0.267647059,0.949776786
14,0.624378109,0.843137255,0.452736318,0.933333333,0.509950249,0.858823529,0.549751244,0.843137255,0.355721393,0.939215686,0.446685879,0.876265467,0.265129683,0.964004499,0.34870317,0.894263217,0.423631124,0.876265467,0.221902017,0.955005624
15,0.644278607,0.854901961,0.502487562,0.947058824,0.532338308,0.88627451,0.529850746,0.854901961,0.430348259,0.949019608,0.435028249,0.887755102,0.299435028,0.967120181,0.367231638,0.910430839,0.423728814,0.887755102,0.285310734,0.955782313
16,0.641148325,0.836032389,0.483253589,0.94534413,0.555023923,0.884615385,0.552631579,0.836032389,0.423444976,0.949392713,0.410764873,0.884484711,0.269121813,0.977349943,0.342776204,0.886749717,0.396600567,0.884484711,0.23796034,0.971687429
17,0.655172414,0.839252336,0.458885942,0.945794393,0.546419098,0.865420561,0.578249337,0.839252336,0.387267905,0.94953271,0.421965318,0.892134831,0.257225434,0.975280899,0.349710983,0.906741573,0.395953757,0.892134831,0.248554913,0.969662921
18,0.712737127,0.819521179,0.509485095,0.924493554,0.658536585,0.85267035,0.653116531,0.819521179,0.409214092,0.933701657,0.446575342,0.881745121,0.282191781,0.979334099,0.331506849,0.904707233,0.42739726,0.881745121,0.246575342,0.966704937
19,0.671834625,0.841904762,0.50129199,0.927619048,0.617571059,0.872380952,0.602067183,0.841904762,0.431524548,0.937142857,0.413043478,0.873271889,0.247282609,0.955069124,0.326086957,0.900921659,0.399456522,0.873271889,0.25,0.948156682
20,0.637532134,0.86042065,0.467866324,0.931166348,0.573264781,0.887189293,0.555269923,0.86042065,0.406169666,0.948374761,0.416422287,0.864804469,0.258064516,0.951955307,0.337243402,0.884916201,0.407624633,0.864804469,0.246334311,0.946368715
21,0.667621777,0.840142096,0.504297994,0.937833037,0.573065903,0.886323268,0.575931232,0.840142096,0.455587393,0.953818828,0.452722063,0.88162345,0.275071633,0.978579481,0.346704871,0.90529876,0.435530086,0.88162345,0.23782235,0.967305524
22,0.708624709,0.842650104,0.501165501,0.935817805,0.594405594,0.879917184,0.622377622,0.842650104,0.463869464,0.935817805,0.442307692,0.883027523,0.293956044,0.971330275,0.35989011,0.895642202,0.425824176,0.883027523,0.263736264,0.962155963
23,0.686842105,0.821428571,0.492105263,0.915413534,0.607894737,0.834586466,0.607894737,0.821428571,0.439473684,0.92481203,0.43452381,0.887777778,0.24702381,0.968888889,0.330357143,0.903333333,0.419642857,0.887777778,0.220238095,0.965555556
24,0.685929648,0.844357977,0.474874372,0.929961089,0.570351759,0.848249027,0.59798995,0.844357977,0.417085427,0.924124514,0.422096317,0.890147225,0.257790368,0.963759909,0.328611898,0.898074745,0.402266289,0.890147225,0.257790368,0.961494904
25,0.670050761,0.822393822,0.5,0.930501931,0.565989848,0.855212355,0.586294416,0.822393822,0.449238579,0.938223938,0.426934097,0.878241263,0.263610315,0.961668546,0.318051576,0.888387824,0.421203438,0.878241263,0.197707736,0.958286359
26,0.670951157,0.826003824,0.526992288,0.923518164,0.57840617,0.883365201,0.59125964,0.826003824,0.429305913,0.938814532,0.43943662,0.90692395,0.264788732,0.973893303,0.369014085,0.914869467,0.416901408,0.90692395,0.230985915,0.960272418
27,0.671641791,0.819607843,0.514925373,0.92745098,0.587064677,0.866666667,0.572139303,0.819607843,0.445273632,0.933333333,0.41322314,0.886597938,0.23415978,0.963344788,0.308539945,0.901489118,0.385674931,0.886597938,0.20661157,0.95532646
28,0.753056235,0.82306163,0.540342298,0.946322068,0.630806846,0.856858847,0.662591687,0.82306163,0.457212714,0.950298211,0.430481283,0.880510441,0.256684492,0.97099768,0.35026738,0.885150812,0.398395722,0.880510441,0.229946524,0.959396752
29,0.666666667,0.803809524,0.527131783,0.900952381,0.568475452,0.832380952,0.57881137,0.803809524,0.454780362,0.92,0.42506812,0.880322209,0.283378747,0.96547756,0.359673025,0.906789413,0.400544959,0.880322209,0.253405995,0.960874568
30,0.624378109,0.862745098,0.47761194,0.937254902,0.559701493,0.880392157,0.559701493,0.862745098,0.415422886,0.941176471,0.402857143,0.89503386,0.271428571,0.968397291,0.354285714,0.909706546,0.38,0.89503386,0.237142857,0.957110609
31,0.667546174,0.853658537,0.511873351,0.934333959,0.562005277,0.868667917,0.601583113,0.853658537,0.408970976,0.941838649,0.445121951,0.871145374,0.262195122,0.97246696,0.365853659,0.896475771,0.432926829,0.871145374,0.231707317,0.955947137
32,0.667464115,0.850202429,0.45215311,0.947368421,0.583732057,0.886639676,0.59569378,0.850202429,0.380382775,0.95951417,0.449035813,0.89347079,0.26446281,0.977090493,0.371900826,0.895761741,0.44077135,0.89347079,0.23415978,0.97021764
33,0.679586563,0.841904762,0.532299742,0.916190476,0.558139535,0.855238095,0.573643411,0.841904762,0.457364341,0.92,0.436260623,0.892412231,0.252124646,0.973952435,0.348441926,0.907134768,0.407932011,0.892412231,0.240793201,0.969422424
34,0.677871148,0.836036036,0.481792717,0.945945946,0.582633053,0.879279279,0.596638655,0.836036036,0.425770308,0.951351351,0.384831461,0.894318182,0.230337079,0.961363636,0.351123596,0.898863636,0.376404494,0.894318182,0.216292135,0.959090909
35,0.652849741,0.840304183,0.476683938,0.939163498,0.593264249,0.868821293,0.593264249,0.840304183,0.393782383,0.948669202,0.419786096,0.880510441,0.235294118,0.964037123,0.371657754,0.897911833,0.409090909,0.880510441,0.251336898,0.954756381
